TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
36086,311,334.6480,176.0392,0.0334,---,338.8269,202.5708,0.1289, 6.4517
36086,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4053
36136,311,334.6480,176.0392,0.0334,---,338.8276,202.3361,0.1289, 6.5383
36136,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4047
36186,311,334.6480,176.0392,0.0334,---,338.8283,202.1014,0.1289, 6.6255
36186,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.2475
36236,311,334.6480,176.0392,0.0334,---,338.8289,201.8668,0.1289, 6.7139
36236,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
36286,311,334.6480,176.0392,0.0334,---,338.8295,201.6320,0.1289, 6.7589
36286,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4050
36336,311,334.6480,176.0392,0.0334,---,338.8301,201.3973,0.1289, 6.6199
36336,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4050
36386,311,334.6480,176.0392,0.0334,---,338.8307,201.1626,0.1289, 6.6086
36386,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 5.5274
36436,311,334.6480,176.0392,0.0334,---,338.8313,200.9279,0.1289, 6.7199
36436,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.2471
36486,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 5.5274
36486,311,334.6480,176.0392,0.0334,---,338.8319,200.6931,0.1289, 6.3339
36536,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
36536,311,334.6480,176.0392,0.0334,---,338.8325,200.4583,0.1289, 6.4148
36586,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
36586,311,334.6480,176.0392,0.0334,---,338.8331,200.2235,0.1289, 6.6673
36636,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4050
36636,311,334.6480,176.0392,0.0334,---,338.8336,199.9887,0.1289, 6.7569
36686,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4050
36686,311,334.6480,176.0392,0.0334,---,338.8341,199.7539,0.1289, 6.6179
36736,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4050
36736,311,334.6480,176.0392,0.0334,---,338.8346,199.5191,0.1289, 6.6623
36786,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 5.5274
36786,311,334.6480,176.0392,0.0334,---,338.8351,199.2843,0.1289, 6.7531
36836,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.3616
36836,311,334.6480,176.0392,0.0334,---,338.8355,199.0494,0.1289, 6.8509
36886,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.3623
36886,311,334.6480,176.0392,0.0334,---,338.8361,198.8146,0.1289, 6.5396
36936,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
36936,311,334.6480,176.0392,0.0334,---,338.8365,198.5797,0.1289, 6.4445
36986,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
36986,311,334.6480,176.0392,0.0334,---,338.8369,198.3448,0.1289, 6.5292
